Wall time,Step,Value
1650439017.4967601,199,0.9277147650718689
1650439018.5036824,201,0.9286727905273438
1650439118.4102786,399,0.9247006177902222
1650439120.4804432,403,0.9247006177902222
1650439220.1570425,599,0.9150320291519165
1650439223.050206,605,0.9150320291519165
1650439321.1017566,799,0.914158821105957
1650439325.267392,807,0.9133310317993164
1650439423.070691,999,0.9106928110122681
1650439428.1488724,1009,0.9325386881828308
1650439527.7562368,1199,0.7254120707511902
1650439534.0844412,1211,0.7089967131614685
1650439632.6552622,1399,0.6625064611434937
1650439640.0917754,1413,0.6686766147613525
1650439736.716701,1599,0.6272805333137512
1650439744.6687887,1615,0.644378662109375
1650439840.842708,1799,0.6250353455543518
1650439850.3174853,1817,0.6279387474060059
1650439945.481493,1999,0.6363295912742615
1650440026.480202,2019,0.6235989332199097
1650440121.9948423,2199,0.6181917190551758
1650440133.8322177,2221,0.603577733039856
1650440228.2335973,2399,0.6056443452835083
1650440240.454929,2423,0.5991003513336182
1650440333.6170008,2599,0.5938767194747925
1650440346.596289,2625,0.5916093587875366
1650440437.352876,2799,0.594584584236145
1650440452.4249818,2827,0.597597599029541
1650440541.9984686,2999,0.5666946172714233
1650440557.691314,3029,0.5784285664558411
1650440647.5097897,3199,0.5774153470993042
1650440664.7886567,3231,0.5909638404846191
1650440754.0019,3399,0.5698909759521484
1650440772.3355975,3433,0.5577861666679382
1650440860.7052014,3599,0.5607120990753174
1650440879.806917,3635,0.5622437000274658
1650440966.9589427,3799,0.5577254295349121
1650440987.0641894,3837,0.5542151927947998
1650441073.5749507,3999,0.5563430190086365
1650441227.2580945,4039,0.5636703968048096
1650441309.8035684,4199,0.5615147352218628
1650441332.0459135,4241,0.5375652313232422
1650441414.336856,4399,0.5433244705200195
1650441436.9847636,4443,0.5487558841705322
1650441517.046547,4599,0.5444785952568054
1650441540.9262943,4645,0.5338812470436096
1650443618.5859623,4799,0.5450883507728577
1650443642.3345704,4847,0.5385066866874695
1650443720.438597,4999,0.5453542470932007
1650443746.0168293,5049,0.540149450302124
1650443823.2570322,5199,0.5390452742576599
1650443849.6195657,5251,0.5261843204498291
1650443926.4088898,5399,0.5308380126953125
1650443954.7846317,5453,0.5355349779129028
1650444030.9238315,5599,0.5309106707572937
1650444060.1682444,5655,0.512690544128418
1650444135.2471144,5799,0.5228440165519714
1650444165.6409976,5857,0.5431227684020996
1650444240.1100829,5999,0.5186002254486084
1650444334.7897522,6059,0.5104949474334717
1650444408.5871286,6199,0.5193479061126709
1650444440.629915,6261,0.5129456520080566
1650444512.1402762,6399,0.49942654371261597
1650444545.692316,6463,0.5130040645599365
1650444616.8962488,6599,0.5150173902511597
1650444651.3741727,6665,0.5055686831474304
1650444722.3753233,6799,0.5063897371292114
1650444757.967824,6867,0.5039776563644409
1650444827.4117525,6999,0.5011528134346008
1650444864.4252212,7069,0.5152395963668823
1650444932.6345687,7199,0.49574512243270874
1650444970.1405072,7271,0.4947335720062256
1650445037.8471384,7399,0.49103689193725586
1650445076.535322,7473,0.4835587739944458
1650445143.9247525,7599,0.49210476875305176
1650445184.6252239,7675,0.4905202388763428
1650445250.2024496,7799,0.48514217138290405
1650445291.7491806,7877,0.49915170669555664
1650445356.334261,7999,0.4813087582588196
1650445471.0883732,8079,0.477141797542572
1650445535.1766589,8199,0.48764321208000183
1650445579.8525548,8281,0.4813774824142456
1650445643.9604115,8399,0.48334962129592896
1650445689.668785,8483,0.4645442068576813
1650445752.617546,8599,0.4709037244319916
1650445799.130926,8685,0.46655207872390747
1650445860.8799646,8799,0.46597975492477417
1650445908.5729563,8887,0.4575245976448059
1650445969.3107522,8999,0.47218799591064453
1650446017.9023592,9089,0.45535558462142944
1650446077.3600252,9199,0.45689713954925537
1650446126.8431103,9291,0.4590844511985779
1650446185.2598014,9399,0.4624767303466797
1650446235.9098608,9493,0.45414501428604126
1650446292.797456,9599,0.4512748718261719
1650446344.419424,9695,0.44983986020088196
1650446399.9353638,9799,0.4319620728492737
1650446452.794741,9897,0.4458915591239929
1650446508.0127952,9999,0.44943004846572876
1650446647.2581728,10099,0.43953126668930054
1650446699.503431,10199,0.43374133110046387
1650446754.1639285,10301,0.43865835666656494
1650446805.8631911,10399,0.4324755370616913
1650446861.0175416,10503,0.44708847999572754
1650446911.9240873,10599,0.4321191906929016
1650446968.2454755,10705,0.4310610890388489
1650447018.2600126,10799,0.434745728969574
1650447075.0671878,10907,0.42595934867858887
1650447124.0622125,10999,0.42498406767845154
1650447182.5006313,11109,0.42706358432769775
1650447230.8028889,11199,0.4239489734172821
1650447291.327646,11311,0.42855629324913025
1650447337.9430873,11399,0.42969051003456116
1650447396.7961202,11513,0.4279765784740448
1650447441.9069014,11599,0.4211244285106659
1650447502.787444,11715,0.4144860506057739
1650447547.2246776,11799,0.4231780767440796
1650447609.6641326,11917,0.4282016456127167
1650447653.2402124,11999,0.42656099796295166
1650447716.8055315,12119,0.4260634183883667
